StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consenso,sesso,eta_1,coinqui,citta,etnia_1,regione,tit_studio,lavoro,altezza_1,peso_1,ora_letto,ore_di_sonno,imp_sonno_1,fumo,fumo_inizio,fumo_oggetto,fumo_oggetto_4_TEXT,droghe,droghe_tipo,droghe_freq,alcol_sino,alcol_quant_1,alcol_quant_2,alcol_quant_3,alcol_quant_4,sport_imp_1,sport,sport_freq_1,sport_impegno_1,sport_dieta,scuola_dist,scuola_mezzo,bici,bici_freq,passeggiata_freq,app_passi,veg,integratori,integratori_freq,integratori_why,valori_nut,valori_nut_quali,spes,qualita_economicita_1,salto_pasti,salto_pasti_quali,acqua_quanta,bibite_freq,alimentaz_imp_1,peso_cibo,so_cucinare,cucino_io,abitudini_cambio,abitudini_why_cambio,abitudini_anni_cambi,giorno_cibi_1,giorno_cibi_2,giorno_cibi_3,giorno_cibi_4,giorno_cibi_5,giorno_cibi_6,giorno_cibi_7,pausa_mattina_cibi_1,pausa_mattina_cibi_2,pausa_mattina_cibi_3,pausa_mattina_cibi_4,pausa_pome_cibi_1,pausa_pome_cibi_2,pausa_pome_cibi_3,pausa_pome_cibi_4,fast_food_freq_1,surgelati_freq_1,asporto_freq_1
2019-11-13 14:09:00,2019-11-13 14:19:13,Survey Preview,,100,612,True,2019-11-13 14:19:14,R_12zN5Gzk8haC3MT,,,,,45.84869384765625,9.270599365234375,preview,IT,Sì,Femmina,21,Genitori/genitore,"Paese ",Italia,Nord,Maturità,Studente,111,68,Tra le 23 e l'1,6-7 ore,84,Sì,Prima dei 18 anni,Tabacco da rollare,,Sì,Leggere,Occasionalmente,No,2,1,,1,96,Sì,4,62,Sì,Più di 5 km,"auto,metro",Sì,Quasi mai,A volte,Sì,No,Sì,Occasionalmente,Per uno sport,A volte,,Genitori,68,Sì,Colazione,Più di 2 litri,Quasi mai,68,No,Sì,Spesso,Sì,"Per la mia forma fisica,Per lo sport",20,11,8,7,1,9,4,0,3,2,0,0,5,3,4,3,3,14,7
2019-11-13 15:46:33,2019-11-13 15:57:03,Survey Preview,,100,630,True,2019-11-13 15:57:03,R_7VYAgpOyGqHC5Dr,,,,,45.470703125,9.18890380859375,preview,IT,Sì,Maschio,20,Genitori/genitore,"Metropoli  ",Italia,Nord,Maturità,"Studente,Lavoratore part time",105,60,Dopo l'1,7-8 ore,66,Sì,Dopo i 18 anni,Tabacco da rollare,,No,,,No,3,1,1,1,71,No,,,,Più di 5 km,"auto,metro",Sì,Raramente,A volte,No,No,No,,,No,,Genitori,41,No,,Tra 1 e 2 litri,A volte,75,No,Sì,A volte,No,,,6,6,2,3,5,1,2,1,1,3,2,2,1,3,1,6,7,5
2019-11-14 03:24:30,2019-11-14 03:30:52,Survey Preview,,100,381,True,2019-11-14 03:30:55,R_2f1zO3jyZ1IGpOX,,,,,45.5325927734375,9.0413055419921875,preview,IT,Sì,Femmina,22,Genitori/genitore,"Paese ",Italia,Nord,Maturità,Studente,200,54,Dopo l'1,6-7 ore,100,Occasionalmente,,,,Sì,Leggere,Occasionalmente,No,,,,2,97,Sì,3,92,No,Più di 5 km,auto,Sì,Raramente,Quasi mai,Sì,No,No,,,A volte,,Genitori,47,No,,Tra 1 e 2 litri,Quasi mai,75,No,Sì,Spesso,No,,,8,12,2,5,6,1,1,0,0,0,0,3,0,3,,2,8,1
2019-11-14 17:27:32,2019-11-14 17:35:58,Survey Preview,,100,506,True,2019-11-14 17:35:59,R_33qzR56EGqwe5Yh,,,,,45.6959991455078125,9.667205810546875,preview,IT,Sì,Femmina,21,Genitori/genitore,"Paese ",Italia,Nord,Maturità,Studente,117,57,Tra le 23 e l'1,6-7 ore,100,No,,,,Sì,Leggere,Abitualmente,No,0,0,0,2,68,No,,,,Più di 5 km,"auto,metro,piedi",Sì,Quasi mai,Quasi sempre,No,Vegetariano,Sì,Occasionalmente,Necessità mediche,Sì,,Genitori,11,No,,Tra 1 e 2 litri,Quasi mai,100,No,Sì,A volte,Sì,"Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...),Per la mia forma fisica",17,12,10,7,0,0,0,3,0,3,6,0,2,3,6,1,0,2,10
2019-11-15 03:42:46,2019-11-15 03:49:11,Survey Preview,,100,384,True,2019-11-15 03:49:11,R_1OPHdjamxVfwLf7,,,,,45.470703125,9.18890380859375,preview,IT,Sì,Femmina,21,Coinquilini,Citta,Italia,Nord,Maturità,Studente,200,58,Dopo l'1,6-7 ore,81,Sì,Prima dei 18 anni,Tabacco da rollare,,Sì,Leggere,Occasionalmente,No,5,1,1,,51,No,,,,Più di 5 km,metro,Sì,Raramente,Spesso,No,No,No,,,A volte,,Io,42,Sì,Colazione,Tra 1 e 2 litri,Quasi mai,100,No,Sì,Quasi sempre,Sì,Quando sono andato a vivere da solo,20,5,13,3,0,8,4,1,0,0,0,2,1,0,0,3,1,4,1
2019-11-15 05:56:35,2019-11-15 06:01:45,Survey Preview,,100,309,True,2019-11-15 06:01:45,R_2DTyBOBOA6TdYH4,,,,,45.470703125,9.18890380859375,preview,IT,Sì,Maschio,21,Genitori/genitore,Citta,Italia,Nord,Maturità,Studente,97,50,Tra le 23 e l'1,6-7 ore,77,No,,,,No,,,Sì,,,,,65,No,,,,Più di 5 km,metro,No,,Spesso,No,No,No,,,A volte,,Genitori,30,No,,Tra 1 e 2 litri,A volte,45,No,No,,No,,,7,14,2,7,7,3,2,0,0,0,0,1,0,1,0,0,5,5
2019-11-15 06:05:38,2019-11-15 06:12:54,Survey Preview,,100,436,True,2019-11-15 06:12:55,R_2QoJ4AQmlCyiaP4,,,,,45.6143035888671875,8.847503662109375,preview,IT,Sì,Femmina,21,Genitori/genitore,"Paese ",Italia,Sud,Maturità,Studente,206,58,Tra le 23 e l'1,7-8 ore,88,Occasionalmente,,,,No,,,No,2,2,1,0,63,Sì,2,58,No,Più di 5 km,metro,Sì,Quasi mai,Raramente,Sì,No,No,,,A volte,,Genitori,66,No,,Tra 1 e 2 litri,Quasi mai,84,No,Sì,Spesso,Sì,Per la mia forma fisica,19,10,3,2,0,6,6,0,0,0,0,5,5,0,0,0,1,0,4
2019-11-15 09:33:10,2019-11-15 09:37:59,Survey Preview,,100,288,True,2019-11-15 09:37:59,R_XX8OQPJ0wi1IvTz,,,,,45.5717926025390625,9.02679443359375,preview,IT,Sì,Maschio,26,Genitori/genitore,Citta,Italia,Nord,Laurea triennale,"Studente,Lavoratore a tempo pieno",107,72,Tra le 23 e l'1,6-7 ore,73,No,,,,No,,,No,3,1,1,0,72,Sì,3,57,No,Più di 5 km,auto,Sì,Raramente,Spesso,Sì,No,No,,,No,,Genitori,65,No,,Tra 1 e 2 litri,Raramente,66,No,Sì,A volte,Sì,Per la mia forma fisica,22,9,6,2,5,5,1,1,3,0,0,4,4,0,0,3,1,0,2
2019-11-15 14:27:04,2019-11-15 14:34:29,Survey Preview,,100,445,True,2019-11-15 14:34:30,R_1dH6nSVTjNGPRqk,,,,,45.43170166015625,10.98590087890625,preview,IT,Sì,Femmina,21,Genitori/genitore,"Paese ",Italia,Nord,Maturità,"Studente,Lavoratore part time",210,53,Tra le 23 e l'1,6-7 ore,75,Sì,Prima dei 18 anni,Sigaretta,,No,,,No,0,0,0,1,15,No,,,,Più di 5 km,auto,Sì,Quasi mai,Quasi mai,Sì,No,No,,,No,,Genitori,72,Sì,"Colazione,Pranzo,Cena",Tra 1 e 2 litri,Raramente,74,No,Sì,Spesso,Sì,Quando ho finito le superiori,19,14,14,2,9,5,10,2,0,0,0,0,0,0,0,3,5,7,1
2019-11-16 01:33:26,2019-11-16 01:44:31,Survey Preview,,100,665,True,2019-11-16 01:44:32,R_2tgmEBgUkYp1eaj,,,,,45.8087005615234375,9.0872039794921875,preview,IT,Sì,Femmina,20,Genitori/genitore,"Paese ",Italia,Nord,Maturità,"Studente,Lavoratore part time",97,64,Tra le 23 e l'1,6-7 ore,100,Occasionalmente,,,,No,,,No,2,3,1,2,100,Sì,2,79,Sì,Più di 5 km,metro,Sì,Raramente,A volte,No,No,Sì,Abitualmente,Necessità mediche,A volte,,Genitori,22,Sì,"Colazione,Pranzo",Meno di 1 litro,Quasi mai,100,Sì,Sì,A volte,Sì,Per la mia forma fisica,15,14,7,5,2,10,4,3,0,0,0,,3,0,0,,3,5,2
2019-11-17 05:37:35,2019-11-17 05:47:26,Survey Preview,,100,590,True,2019-11-17 05:47:26,R_2e8rITcZgT5UzhD,,,,,45.470703125,9.18890380859375,preview,IT,Sì,Femmina,21,Coinquilini,"Metropoli  ",Italia,Centro,Maturità,Studente,97,58,Tra le 23 e l'1,6-7 ore,100,Occasionalmente,,,,No,,,No,4,0,1,4,90,Sì,2,57,No,Tra 1 e 5 km,metro,No,,A volte,Sì,No,Sì,Abitualmente,Scelte personali,A volte,,Io,72,No,,Tra 1 e 2 litri,A volte,100,No,Sì,Spesso,Sì,"Quando sono andato a vivere da solo,Per la mia forma fisica",19,8,5,2,5,7,2,5,5,0,4,0,5,2,4,0,5,15,8
2019-11-17 08:54:40,2019-11-17 08:59:40,Survey Preview,,100,300,True,2019-11-17 08:59:49,R_29c6DfrNetscUGk,,,,,45.470703125,9.18890380859375,preview,IT,Sì,Maschio,21,Genitori/genitore,Citta,Italia,Nord,Maturità,Studente,121,65,Tra le 23 e l'1,7-8 ore,100,No,,,,No,,,No,0,0,0,0,96,No,,,,Più di 5 km,"metro,piedi",Sì,A volte,Quasi sempre,Sì,No,No,,,A volte,,Genitori,78,No,,Tra 1 e 2 litri,Raramente,100,No,Sì,Quasi sempre,No,,,6,10,0,10,6,3,1,0,0,0,0,0,0,0,0,0,0,0
2019-11-19 03:29:09,2019-11-19 03:32:47,IP Address,158.148.28.237,100,217,True,2019-11-19 03:32:48,R_2s0YiCoYHPn9ea7,,,,,45.7368011474609375,9.7263946533203125,anonymous,IT,Sì,Maschio,18,Genitori/genitore,"Paese ",Italia,Nord,Licenza media,Studente,115,71,Tra le 23 e l'1,7-8 ore,68,No,,,,No,,,No,0,,2,4,74,Sì,4,87,No,Tra 1 e 5 km,"auto,piedi",Sì,Raramente,Spesso,No,No,No,,,No,,Genitori,65,No,,Tra 1 e 2 litri,Spesso,29,No,No,,No,,,5,10,0,9,6,1,1,0,0,1,1,0,0,1,,8,6,4
2019-11-19 03:30:02,2019-11-19 03:37:26,IP Address,176.200.159.47,100,443,True,2019-11-19 03:37:26,R_3Do4w7G86hhlHtZ,,,,,45.470703125,9.18890380859375,anonymous,IT,Sì,Femmina,21,Coinquilini,"Metropoli  ",Italia,Nord,Maturità,"Studente,Lavoratore part time",101,73,Tra le 23 e l'1,7-8 ore,100,Sì,Prima dei 18 anni,Sigaretta,,Sì,Leggere,Occasionalmente,No,6,6,1,3,74,Sì,2,40,No,Tra 1 e 5 km,metro,No,,A volte,Sì,No,No,,,A volte,,Io,39,No,,Tra 1 e 2 litri,Spesso,77,No,Sì,Quasi sempre,Sì,Quando sono andato a vivere da solo,19,5,13,0,11,10,9,2,0,0,2,2,1,0,3,4,3,26,10
2019-11-19 03:31:53,2019-11-19 03:38:28,IP Address,131.175.147.12,100,394,True,2019-11-19 03:38:28,R_1cSsJaDaOSvox7B,,,,,45.470703125,9.18890380859375,anonymous,IT,Sì,Maschio,20,Genitori/genitore,"Paese ",Italia,Nord,Maturità,Studente,131,80,Tra le 23 e l'1,8-9 ore,,No,,,,No,,,No,3,1,1,1,77,Sì,3,,No,Più di 5 km,auto,Sì,Quasi mai,Quasi mai,No,No,No,,,No,,Genitori,,Sì,Colazione,Tra 1 e 2 litri,Quasi Sempre,,No,Sì,A volte,No,,,7,14,7,10,14,3,3,0,0,4,,0,0,7,,4,7,5
2019-11-19 03:32:02,2019-11-19 03:38:58,IP Address,146.241.183.58,100,416,True,2019-11-19 03:38:59,R_3qyeyf44uDH0YoH,,,,,46.136505126953125,9.4615936279296875,anonymous,IT,Sì,Maschio,52,Con un partner,"Paese ",Italia,Sud,Maturità,Lavoratore a tempo pieno,123,96,Tra le 23 e l'1,6-7 ore,83,No,,,,No,,,No,0,9,6,,,No,,,,Meno di 1 km,auto,No,,Spesso,No,No,No,,,Sì,"Calorie, grassi, zuccheri",Io,,No,,Meno di 1 litro,Raramente,65,Sì,Sì,Quasi sempre,Sì,Per necessità mediche,50,7,5,6,1,3,1,,0,0,0,0,0,0,0,0,1,0,1
2019-11-19 03:32:31,2019-11-19 03:41:10,IP Address,2.35.63.212,100,518,True,2019-11-19 03:41:10,R_2w1b9YhKLU1HfSV,,,,,45.5337066650390625,10.2191009521484375,anonymous,IT,Sì,Femmina,21,Genitori/genitore,"Paese ",Italia,Nord,Maturità,"Studente,Lavoratore part time",210,53,Dopo l'1,6-7 ore,96,No,,,,No,,,No,,1,,,76,Sì,4,86,No,Più di 5 km,metro,No,,Quasi mai,No,No,No,,,A volte,,Genitori,45,Sì,Colazione,Meno di 1 litro,Quasi mai,95,No,Sì,Spesso,Sì,"Per la mia forma fisica,Per lo sport",19,14,7,4,4,6,2,7,3,2,0,,4,3,,,1,3,2
2019-11-19 03:34:49,2019-11-19 03:42:42,IP Address,93.55.234.160,100,472,True,2019-11-19 03:42:49,R_1Pep0xuKpUdcAYg,,,,,45.470703125,9.18890380859375,anonymous,IT,Sì,Maschio,21,Genitori/genitore,"Metropoli  ",Italia,Nord,Maturità,Studente,107,66,Tra le 23 e l'1,8-9 ore,100,Sì,Prima dei 18 anni,Tabacco da rollare,,Sì,Leggere,Occasionalmente,No,4,1,1,2,65,No,,,,Tra 1 e 5 km,auto,Sì,Quasi mai,Raramente,No,No,Sì,Occasionalmente,Scelte personali,No,,Genitori,82,No,,Tra 1 e 2 litri,A volte,78,Sì,Sì,Spesso,No,,,4,7,3,2,5,1,1,0,0,0,0,1,0,3,2,2,10,3
