"Informazioni cronologiche","Mothertongue ","Second Language","You showed up an hour late for a dinner with your friends. ","You borrowed your father’s keys but you lost them. Your father needs them back.","You had just left the restaurant and you are checking the receipt, you noticed that you had paid less than you should have","You were supposed to go to a friend’s graduation party but forgot to do so because you had a job interview.","You accidentally run into the women’s toilet/men’s toilet while in a Pub.","You are eating an ice cream in a crowed place and it falls on a stranger's shoe","You had been invited to a dinner party and you forgot to take with you the bottle of wine that you have promised to bring ","You suggested an answer to a friend during an exam and you found out later that it was wrong"
"2019/11/29 6:20:03 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","2","3 (somewhat severe)","3 (somewhat severe)","4","3 (somewhat severe)","4"
"2019/11/29 6:20:39 PM CET","Other","English","1 (not severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","2","2","3 (somewhat severe)"
"2019/11/29 6:24:18 PM CET","Italian","English","4","4","3 (somewhat severe)","2","2","1 (not severe)","3 (somewhat severe)","2"
"2019/11/29 6:26:21 PM CET","Other","English","4","4","4","1 (not severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/11/29 6:31:27 PM CET","Italian","English","4","3 (somewhat severe)","1 (not severe)","5 (severe)","5 (severe)","5 (severe)","2","2"
"2019/11/29 6:35:05 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","4","3 (somewhat severe)","4","3 (somewhat severe)","3 (somewhat severe)","5 (severe)"
"2019/11/29 6:36:54 PM CET","Italian","English","2","2","4","4","2","2","2","2"
"2019/11/29 6:43:55 PM CET","Italian","English","4","4","1 (not severe)","4","2","3 (somewhat severe)","4","3 (somewhat severe)"
"2019/11/29 6:46:25 PM CET","Italian","English","3 (somewhat severe)","4","5 (severe)","3 (somewhat severe)","2","3 (somewhat severe)","4","2"
"2019/11/29 6:47:11 PM CET","English","English","5 (severe)","4","2","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","1 (not severe)"
"2019/11/29 7:00:30 PM CET","Italian","Other","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/11/29 7:10:23 PM CET","Italian","English","5 (severe)","5 (severe)","3 (somewhat severe)","2","1 (not severe)","5 (severe)","3 (somewhat severe)","4"
"2019/11/29 7:24:08 PM CET","Italian","Other","3 (somewhat severe)","4","3 (somewhat severe)","5 (severe)","1 (not severe)","4","4","4"
"2019/11/29 7:33:29 PM CET","Italian","English","3 (somewhat severe)","4","2","5 (severe)","1 (not severe)","2","2","1 (not severe)"
"2019/11/29 7:35:41 PM CET","Italian","English","3 (somewhat severe)","2","2","4","3 (somewhat severe)","4","4","3 (somewhat severe)"
"2019/11/29 7:38:13 PM CET","Italian","English","4","5 (severe)","2","3 (somewhat severe)","1 (not severe)","2","2","1 (not severe)"
"2019/11/29 7:38:27 PM CET","Italian","English","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","5 (severe)","5 (severe)","5 (severe)","5 (severe)"
"2019/11/29 7:38:36 PM CET","Italian","English","5 (severe)","3 (somewhat severe)","2","2","1 (not severe)","1 (not severe)","2","2"
"2019/11/29 7:45:56 PM CET","Italian","Other","4","5 (severe)","2","3 (somewhat severe)","2","4","4","4"
"2019/11/29 8:09:07 PM CET","Italian","English","3 (somewhat severe)","4","1 (not severe)","4","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/11/29 8:28:26 PM CET","Italian","Italian","3 (somewhat severe)","5 (severe)","5 (severe)","5 (severe)","4","4","5 (severe)","5 (severe)"
"2019/11/29 8:55:29 PM CET","Other","English","4","4","2","1 (not severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/11/29 8:55:29 PM CET","Other","English","1 (not severe)","5 (severe)","1 (not severe)","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/11/29 8:57:22 PM CET","Italian","English","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","2","4"
"2019/11/29 9:06:10 PM CET","Italian","English","2","5 (severe)","2","3 (somewhat severe)","2","5 (severe)","5 (severe)","5 (severe)"
"2019/11/29 11:26:24 PM CET","Italian","English","2","5 (severe)","5 (severe)","1 (not severe)","1 (not severe)","2","2","3 (somewhat severe)"
"2019/11/29 11:29:39 PM CET","Italian","English","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","4","4"
"2019/11/29 11:30:10 PM CET","Italian","Italian","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2"
"2019/11/29 11:44:48 PM CET","Italian","English","1 (not severe)","4","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/11/29 11:53:44 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","2","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","5 (severe)"
"2019/11/30 6:47:36 AM CET","Italian","English","5 (severe)","4","2","3 (somewhat severe)","1 (not severe)","2","4","4"
"2019/11/30 8:01:11 AM CET","Italian","","3 (somewhat severe)","4","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/11/30 9:19:02 AM CET","Italian","English","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","4","4","4","3 (somewhat severe)","4"
"2019/11/30 2:06:46 PM CET","English","Other","1 (not severe)","4","4","3 (somewhat severe)","3 (somewhat severe)","5 (severe)","4","2"
"2019/11/30 4:03:55 PM CET","Italian","English","4","4","3 (somewhat severe)","5 (severe)","1 (not severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/11/30 7:04:30 PM CET","Italian","English","3 (somewhat severe)","5 (severe)","2","3 (somewhat severe)","4","5 (severe)","4","5 (severe)"
"2019/12/01 11:23:50 AM CET","Italian","Other","3 (somewhat severe)","5 (severe)","1 (not severe)","2","3 (somewhat severe)","5 (severe)","4","5 (severe)"
"2019/12/01 12:31:23 PM CET","Italian","English","2","4","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","4","3 (somewhat severe)","2"
"2019/12/01 3:47:33 PM CET","Other","English","4","4","5 (severe)","3 (somewhat severe)","4","3 (somewhat severe)","5 (severe)","1 (not severe)"
"2019/12/02 11:12:02 AM CET","Italian","English","5 (severe)","5 (severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","5 (severe)"
"2019/12/02 12:40:52 PM CET","Italian","English","3 (somewhat severe)","4","5 (severe)","3 (somewhat severe)","2","4","2","4"
"2019/12/02 12:46:07 PM CET","Italian","English","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","2","3 (somewhat severe)"
"2019/12/02 3:57:25 PM CET","Italian","English","4","3 (somewhat severe)","2","4","1 (not severe)","3 (somewhat severe)","4","4"
"2019/12/02 4:23:49 PM CET","Italian","English","3 (somewhat severe)","4","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","4","2"
"2019/12/02 4:24:38 PM CET","Italian","Other","3 (somewhat severe)","4","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","4","3 (somewhat severe)"
"2019/12/02 4:43:30 PM CET","Italian","English","1 (not severe)","5 (severe)","2","1 (not severe)","4","5 (severe)","2","4"
"2019/12/02 5:15:55 PM CET","Italian","English","4","4","5 (severe)","4","2","4","3 (somewhat severe)","5 (severe)"
"2019/12/02 5:59:23 PM CET","Italian","English","4","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2","4","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/02 9:21:37 PM CET","Italian","English","3 (somewhat severe)","2","4","3 (somewhat severe)","2","4","2","3 (somewhat severe)"
"2019/12/02 9:58:50 PM CET","Italian","English","4","3 (somewhat severe)","1 (not severe)","4","2","2","2","3 (somewhat severe)"
"2019/12/02 10:00:53 PM CET","Italian","English","5 (severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","4","4"
"2019/12/02 10:01:59 PM CET","Italian","English","5 (severe)","5 (severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/02 11:24:24 PM CET","Other","English","4","5 (severe)","3 (somewhat severe)","4","2","2","1 (not severe)","1 (not severe)"
"2019/12/03 12:24:56 AM CET","Italian","Other","4","5 (severe)","4","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 10:26:32 AM CET","Italian","English","5 (severe)","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 10:32:30 AM CET","Italian","English","2","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","4","4","5 (severe)"
"2019/12/03 10:34:29 AM CET","English","","3 (somewhat severe)","2","5 (severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 10:36:00 AM CET","Italian","English","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 10:38:08 AM CET","Italian","English","2","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2","4","3 (somewhat severe)"
"2019/12/03 10:42:10 AM CET","English","English","1 (not severe)","2","1 (not severe)","2","1 (not severe)","1 (not severe)","2","2"
"2019/12/03 10:46:59 AM CET","Italian","English","3 (somewhat severe)","2","1 (not severe)","4","1 (not severe)","2","1 (not severe)","2"
"2019/12/03 10:47:24 AM CET","Italian","English","4","4","3 (somewhat severe)","4","1 (not severe)","4","2","3 (somewhat severe)"
"2019/12/03 10:52:06 AM CET","English","Other","4","3 (somewhat severe)","5 (severe)","2","2","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)"
"2019/12/03 10:53:20 AM CET","Italian","Other","4","4","3 (somewhat severe)","1 (not severe)","2","2","2","2"
"2019/12/03 11:09:55 AM CET","Italian","Italian","4","5 (severe)","4","3 (somewhat severe)","2","5 (severe)","4","2"
"2019/12/03 11:12:25 AM CET","English","Other","4","5 (severe)","3 (somewhat severe)","2","2","1 (not severe)","1 (not severe)","4"
"2019/12/03 11:17:46 AM CET","Italian","English","3 (somewhat severe)","","2","2","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/12/03 11:22:58 AM CET","Italian","English","4","4","3 (somewhat severe)","3 (somewhat severe)","2","5 (severe)","3 (somewhat severe)","1 (not severe)"
"2019/12/03 11:24:44 AM CET","English","Italian","5 (severe)","5 (severe)","3 (somewhat severe)","1 (not severe)","2","5 (severe)","3 (somewhat severe)","2"
"2019/12/03 11:27:40 AM CET","Italian","English","3 (somewhat severe)","5 (severe)","1 (not severe)","2","2","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 11:32:50 AM CET","English","Other","4","4","4","3 (somewhat severe)","5 (severe)","4","2","3 (somewhat severe)"
"2019/12/03 11:33:54 AM CET","English","English","4","5 (severe)","1 (not severe)","3 (somewhat severe)","2","4","2","3 (somewhat severe)"
"2019/12/03 11:36:24 AM CET","Italian","English","1 (not severe)","4","2","3 (somewhat severe)","1 (not severe)","2","5 (severe)","2"
"2019/12/03 11:38:43 AM CET","Italian","English","3 (somewhat severe)","4","2","3 (somewhat severe)","2","4","5 (severe)","5 (severe)"
"2019/12/03 11:40:05 AM CET","English","Other","5 (severe)","5 (severe)","2","4","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 11:40:20 AM CET","Italian","English","4","5 (severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","4","3 (somewhat severe)"
"2019/12/03 11:40:52 AM CET","English","","4","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 11:42:15 AM CET","Italian","English","1 (not severe)","5 (severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 11:45:24 AM CET","Italian","English","5 (severe)","5 (severe)","4","5 (severe)","1 (not severe)","3 (somewhat severe)","5 (severe)","1 (not severe)"
"2019/12/03 11:48:02 AM CET","Other","Italian","5 (severe)","4","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)","5 (severe)"
"2019/12/03 11:49:38 AM CET","Italian","English","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 11:49:41 AM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","2","2","3 (somewhat severe)","1 (not severe)","2"
"2019/12/03 11:51:31 AM CET","Italian","English","2","4","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 11:51:47 AM CET","English","English","2","5 (severe)","3 (somewhat severe)","2","2","2","3 (somewhat severe)","2"
"2019/12/03 11:52:07 AM CET","English","Other","4","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 11:52:27 AM CET","Italian","English","3 (somewhat severe)","2","1 (not severe)","2","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 11:54:15 AM CET","English","English","3 (somewhat severe)","3 (somewhat severe)","2","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 12:03:01 PM CET","English","English","4","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","4","2"
"2019/12/03 12:05:23 PM CET","Italian","English","3 (somewhat severe)","2","2","4","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 12:08:29 PM CET","English","Italian","4","5 (severe)","2","4","1 (not severe)","3 (somewhat severe)","1 (not severe)","2"
"2019/12/03 12:10:16 PM CET","Italian","English","4","5 (severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 12:11:42 PM CET","Other","English","4","5 (severe)","1 (not severe)","2","1 (not severe)","2","1 (not severe)","3 (somewhat severe)"
"2019/12/03 12:13:29 PM CET","Other","English","5 (severe)","4","2","3 (somewhat severe)","5 (severe)","5 (severe)","2","1 (not severe)"
"2019/12/03 12:18:00 PM CET","Italian","English","4","5 (severe)","2","4","3 (somewhat severe)","2","2","4"
"2019/12/03 12:19:42 PM CET","English","","4","5 (severe)","1 (not severe)","2","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 12:21:12 PM CET","English","","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","1 (not severe)","2","2"
"2019/12/03 12:22:21 PM CET","Italian","English","4","4","3 (somewhat severe)","2","1 (not severe)","2","2","2"
"2019/12/03 12:26:16 PM CET","Other","English","3 (somewhat severe)","4","2","2","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 12:29:40 PM CET","English","Other","4","4","3 (somewhat severe)","4","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 12:29:48 PM CET","Italian","English","4","4","2","2","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 12:32:01 PM CET","English","Other","4","2","2","3 (somewhat severe)","2","3 (somewhat severe)","2","2"
"2019/12/03 12:32:05 PM CET","English","Other","4","5 (severe)","1 (not severe)","3 (somewhat severe)","2","4","3 (somewhat severe)","4"
"2019/12/03 12:32:24 PM CET","English","","4","5 (severe)","1 (not severe)","5 (severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 12:37:34 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 12:38:46 PM CET","English","Other","3 (somewhat severe)","5 (severe)","2","1 (not severe)","1 (not severe)","4","3 (somewhat severe)","2"
"2019/12/03 12:41:25 PM CET","English","Other","2","2","2","2","2","2","1 (not severe)","2"
"2019/12/03 12:42:11 PM CET","Other","English","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","4","3 (somewhat severe)"
"2019/12/03 12:45:51 PM CET","English","English","2","3 (somewhat severe)","2","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 12:47:57 PM CET","English","","4","4","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)"
"2019/12/03 12:48:39 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","2","2","2","3 (somewhat severe)"
"2019/12/03 12:49:01 PM CET","Italian","English","3 (somewhat severe)","4","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 12:50:57 PM CET","English","Other","3 (somewhat severe)","4","2","2","2","2","2","3 (somewhat severe)"
"2019/12/03 12:53:27 PM CET","Italian","English","5 (severe)","4","2","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","5 (severe)","1 (not severe)"
"2019/12/03 12:54:25 PM CET","English","Other","4","4","2","3 (somewhat severe)","2","2","2","2"
"2019/12/03 12:54:38 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 12:55:02 PM CET","English","English","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","2","1 (not severe)","1 (not severe)"
"2019/12/03 12:56:53 PM CET","Other","English","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 12:57:44 PM CET","Other","English","3 (somewhat severe)","5 (severe)","2","1 (not severe)","2","3 (somewhat severe)","1 (not severe)","1 (not severe)"
"2019/12/03 12:58:34 PM CET","English","Other","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 12:58:48 PM CET","English","Other","5 (severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","2","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 12:59:18 PM CET","English","","1 (not severe)","5 (severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","5 (severe)","1 (not severe)","1 (not severe)"
"2019/12/03 12:59:33 PM CET","English","","4","3 (somewhat severe)","2","4","2","1 (not severe)","3 (somewhat severe)","1 (not severe)"
"2019/12/03 1:00:23 PM CET","English","English","3 (somewhat severe)","4","2","2","1 (not severe)","4","2","3 (somewhat severe)"
"2019/12/03 1:00:48 PM CET","Italian","English","3 (somewhat severe)","3 (somewhat severe)","4","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 1:01:11 PM CET","English","Other","2","4","2","3 (somewhat severe)","2","3 (somewhat severe)","4","1 (not severe)"
"2019/12/03 1:01:18 PM CET","English","Other","4","5 (severe)","3 (somewhat severe)","4","2","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 1:01:28 PM CET","English","","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","2","5 (severe)"
"2019/12/03 1:01:38 PM CET","Other","English","4","4","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 1:01:52 PM CET","English","","3 (somewhat severe)","4","2","2","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 1:02:32 PM CET","English","","4","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 1:02:35 PM CET","English","Other","3 (somewhat severe)","5 (severe)","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","1 (not severe)","2"
"2019/12/03 1:02:36 PM CET","English","Other","5 (severe)","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2"
"2019/12/03 1:02:58 PM CET","English","Other","4","4","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 1:03:19 PM CET","English","English","4","4","2","1 (not severe)","2","2","3 (somewhat severe)","2"
"2019/12/03 1:04:03 PM CET","English","Other","4","4","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2","2"
"2019/12/03 1:04:39 PM CET","English","Other","3 (somewhat severe)","4","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2"
"2019/12/03 1:04:52 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","2","2","2","2","3 (somewhat severe)"
"2019/12/03 1:05:38 PM CET","English","English","4","3 (somewhat severe)","3 (somewhat severe)","2","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 1:05:40 PM CET","English","","4","4","2","3 (somewhat severe)","2","2","2","3 (somewhat severe)"
"2019/12/03 1:05:48 PM CET","English","Other","3 (somewhat severe)","4","2","2","4","4","1 (not severe)","4"
"2019/12/03 1:05:52 PM CET","Italian","English","3 (somewhat severe)","2","2","2","1 (not severe)","2","2","2"
"2019/12/03 1:08:49 PM CET","Other","English","2","2","1 (not severe)","2","1 (not severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 1:09:11 PM CET","English","English","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","2","2","1 (not severe)","1 (not severe)"
"2019/12/03 1:09:18 PM CET","English","Other","3 (somewhat severe)","5 (severe)","2","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 1:09:27 PM CET","Other","English","4","4","1 (not severe)","2","2","2","2","1 (not severe)"
"2019/12/03 1:09:36 PM CET","English","Other","3 (somewhat severe)","5 (severe)","1 (not severe)","3 (somewhat severe)","2","2","1 (not severe)","2"
"2019/12/03 1:09:44 PM CET","English","Other","2","3 (somewhat severe)","4","5 (severe)","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 1:10:01 PM CET","English","","4","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 1:12:26 PM CET","English","Other","2","4","1 (not severe)","3 (somewhat severe)","2","2","1 (not severe)","2"
"2019/12/03 1:12:55 PM CET","English","Other","4","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 1:14:01 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","2","3 (somewhat severe)","4","2","3 (somewhat severe)"
"2019/12/03 1:14:22 PM CET","English","Other","5 (severe)","5 (severe)","1 (not severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 1:14:39 PM CET","English","English","3 (somewhat severe)","5 (severe)","2","1 (not severe)","2","4","2","1 (not severe)"
"2019/12/03 1:15:10 PM CET","Other","English","3 (somewhat severe)","2","1 (not severe)","4","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2"
