sex,age,housemates,city,nationality,region,qualification,working status,weight,bed time,sleeping hours,sleep importance,smoke,smoke begin,smoke object,drugs kind,drugs frequency,drugs,teetotaler,beer,wine,liquors,drinks,sport importance,sport,sport frequency,sport effort,sport diet,work distance,work transportation,bike,bike frequency,walk frequency,steps app,eating habit,food supplements,supplement frequency,supplement reason,nutritional values,which values,food shopping,food quality,skip meals,which meals skip,water a-day,sugary drinks,food impact on health,food weigh,cooking,cooking frequency,eating habits change,change reason,age at change,vegetables,carbohidrates,legumes,cheese,meat,fish,eggs,fruits morning,dried nuts morning,snacks morning,fruits evening,dried nuts evening,snacks evening,fast food a month,frozen food a month,delivered food a month,sleeping hours code,bike code,walks code,sugary drinks code,diet health score,lifestyle score
Female,38.0,With a partner,City,Italia,Nord,Master's degree,Part time ,57.0,Before 23,7-8,75.0,No,None,None,None,None,No,Yes,0.0,0.0,0.0,0.0,41.0,No,0.0,50.0,None,More than 5 km,public transportation,Yes,Almost never,Sometimes,No,No,Yes,Occasionally,Medical needs,No,None,Me,50.0,No,None,Less than 1 liter,Almost never,63.0,Yes,Yes,Sometimes,Yes,Living alone,30,14.0,3.0,10.0,3.0,11.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,4,1,0.9102097531218317,0.2034317175129759
Female,21.0,Parents,City,Italia,Nord,High school diploma,Part time ,57.0,Between 23 and 1,8-9,100.0,Yes,Before 18,"Tabacco da rollare,Altro:",Light,Often,Yes,Yes,0.0,0.0,0.0,0.0,21.0,No,0.0,50.0,None,Between 1 and 5 km,car,No,I've go no bike,Almost never,No,No,No,None,None,Sometimes,None,Parents,61.0,Yes,Dinner,Less than 1 liter,Sometimes,71.0,No,No,I can't cook,No,None,None,7.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,3.0,0.0,3.0,6.0,0.0,7.0,3,2,1,4,-0.556656800946283,-1.458646626608434
Female,20.0,Parents,Town,Italia,Nord,High school diploma,Student,50.0,Between 23 and 1,6-7,100.0,No,None,None,None,None,No,Yes,0.0,0.0,0.0,0.0,100.0,Yes,4.0,75.0,Yes,More than 5 km,public transportation,Yes,Rarely,Sometimes,Yes,Semi-vegetarian,Yes,Often,Medical needs,Yes,"Calories,Chemicals",Parents,100.0,Yes,Breakfast,Between 1 and 2 liters,Almost never,100.0,Yes,Yes,Almost always,Yes,"Vegetarianism,Body shape",15,12.0,3.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,4,1,-0.04321153912534835,0.942133203789158
Female,22.0,Parents,Town,Italia,Nord,High school diploma,Student,60.0,Before 23,6-7,100.0,No,None,None,None,None,No,Yes,0.0,0.0,0.0,0.0,50.0,No,0.0,50.0,None,Less than 1 km,"car,public transportation",No,I've go no bike,Sometimes,No,Vegetarian,No,None,None,Yes,Calories,Me,50.0,No,None,More than 2 liters,Almost never,100.0,Yes,Yes,Almost always,Yes,Vegetarianism,21,14.0,10.0,4.0,0.0,0.0,0.0,2.0,5.0,3.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,1,2,4,1,1.419292140267214,0.3881070890820214
Male,23.0,Parents,Town,Italia,Nord,High school diploma,Student,59.0,Between 23 and 1,6-7,37.0,No,None,None,None,None,No,No,0.0,0.0,0.0,3.0,100.0,Yes,5.0,80.0,No,More than 5 km,"public transportation,walking",Yes,Almost never,Almost never,No,No,No,None,None,No,None,Parents,61.0,Yes,Breakfast,More than 2 liters,Almost always,69.0,No,Yes,Rarely,No,None,None,0.0,7.0,0.0,12.0,7.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,4.0,1,1,1,0,-3.197940637675591,0.7838400281585475
Female,28.0,Flatmates,Town,Italia,Nord,Bachelor degree,Part time ,49.0,After 1,6-7,79.0,No,None,None,None,None,No,No,3.0,0.0,0.0,0.0,78.0,No,0.0,50.0,None,Less than 1 km,car,Yes,Rarely,Rarely,No,No,No,None,None,No,None,Me,50.0,No,None,Less than 1 liter,Almost never,65.0,No,Yes,Almost always,Yes,Body shape,20,14.0,5.0,8.0,8.0,4.0,6.0,3.0,1.0,1.0,1.0,5.0,2.0,0.0,6.0,2.0,0.0,1,4,3,1,1.8387576109253707,-1.0629136875319078
Female,21.0,Parents,Town,Italia,Nord,High school diploma,Student,55.0,Between 23 and 1,6-7,100.0,No,None,None,None,None,No,Yes,0.0,0.0,0.0,0.0,100.0,Yes,7.0,74.0,Yes,More than 5 km,public transportation,Yes,Almost never,Often,No,No,Yes,Occasionally,Sport,Sometimes,None,Parents,50.0,No,None,Between 1 and 2 liters,Almost never,100.0,Yes,Yes,Often,Yes,"Body shape,Sport",17,14.0,7.0,4.0,1.0,3.0,3.0,2.0,4.0,1.0,0.0,5.0,2.0,2.0,0.0,2.0,4.0,1,1,2,1,1.748021291294227,0.572782460651067
Female,19.0,Parents,Town,Italia,Nord,High school diploma,Student,56.0,Before 23,7-8,77.0,Occasionally,None,None,None,None,No,No,0.0,1.0,0.0,1.0,85.0,Yes,3.0,68.0,No,More than 5 km,public transportation,Yes,Almost never,Almost never,Yes,No,No,None,None,Sometimes,None,Parents,100.0,No,None,Between 1 and 2 liters,Sometimes,100.0,No,Yes,Sometimes,Yes,Sport,13,10.0,8.0,0.0,4.0,5.0,5.0,1.0,5.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,3.0,2,1,1,4,1.1879438760456118,-0.27144780937885543
Female,21.0,Parents,Town,Italia,Nord,High school diploma,Part time ,60.0,Between 23 and 1,4-6,100.0,No,None,None,None,None,No,No,3.0,2.0,0.0,1.0,68.0,Yes,1.0,26.0,No,More than 5 km,public transportation,No,I've go no bike,Almost never,No,No,No,None,None,Sometimes,None,Parents,80.0,No,None,Between 1 and 2 liters,Rarely,100.0,Yes,Yes,Rarely,Yes,Body shape,16,14.0,7.0,5.0,2.0,8.0,4.0,1.0,7.0,0.0,2.0,7.0,1.0,3.0,3.0,3.0,0.0,0,2,1,3,2.027207093153753,-1.9599083494387002
Female,21.0,Parents,Town,Italia,Nord,High school diploma,Part time ,60.0,Between 23 and 1,6-7,78.0,No,None,None,None,None,No,No,3.0,1.0,0.0,1.0,39.0,No,0.0,50.0,None,More than 5 km,"car,public transportation",Yes,Sometimes,Often,Yes,No,No,None,None,Sometimes,None,Parents,31.0,No,None,Between 1 and 2 liters,Rarely,64.0,No,Yes,Sometimes,Yes,End of High School,19,8.0,10.0,0.0,7.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,4.0,1,5,2,3,-0.4454131975028097,-0.799091728147557
Female,22.0,Flatmates,Metropolis,Italia,Nord,High school diploma,Student,65.0,Between 23 and 1,7-8,81.0,No,None,None,None,None,No,No,2.0,2.0,1.0,1.0,65.0,Yes,3.0,49.0,Yes,Between 1 and 5 km,"public transportation,walking",Yes,Almost never,Often,No,No,No,None,None,Sometimes,None,Me,40.0,Yes,Breakfast,Between 1 and 2 liters,Rarely,76.0,Yes,Yes,Almost always,Yes,Living alone,19,7.0,7.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,4.0,2,1,2,3,0.09301112475178348,-0.11315463374824519
Male,28.0,Parents,City,Italia,Nord,High school diploma,Full time,74.0,Between 23 and 1,7-8,100.0,No,None,None,None,None,No,Yes,0.0,0.0,0.0,0.0,13.0,No,0.0,50.0,None,More than 5 km,car,No,I've go no bike,Almost never,No,No,No,None,None,No,None,Parents,69.0,No,None,Between 1 and 2 liters,Sometimes,84.0,No,Yes,Rarely,Yes,Medical needs,22,1.0,10.0,2.0,7.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,10.0,1.0,2,2,1,4,-1.2685971975143944,-1.458646626608434
Male,26.0,Parents,Town,Italia,Nord,Bachelor degree,Student,69.0,Between 23 and 1,6-7,95.0,Occasionally,None,None,None,None,No,No,7.0,4.0,4.0,4.0,27.0,No,0.0,50.0,None,Less than 1 km,public transportation,No,I've go no bike,Sometimes,Yes,No,No,None,None,Sometimes,None,Parents,86.0,Yes,Lunch,Less than 1 liter,Sometimes,80.0,No,No,I can't cook,Yes,Vegetarianism,20,7.0,10.0,3.0,7.0,4.0,4.0,6.0,0.0,0.0,4.0,0.0,3.0,7.0,3.0,4.0,1.0,1,2,4,4,-0.36930081477801396,-1.90714395756183
Male,20.0,Flatmates,Metropolis,Italia,Center,High school diploma,Student,90.0,Between 23 and 1,6-7,80.0,No,None,None,None,None,No,No,1.0,0.0,0.0,0.0,83.0,Yes,1.0,0.0,Yes,Between 1 and 5 km,"public transportation,bike,walking",Yes,Often,Rarely,Yes,No,No,None,None,Yes,Calories,Me,50.0,No,None,Between 1 and 2 liters,Rarely,69.0,Yes,Yes,Almost always,Yes,"Living alone,Body shape,Sport",18,10.0,10.0,7.0,5.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,7.0,4.0,1,3,3,3,0.47321896418838705,0.3353426972051515
Male,21.0,Parents,City,Regno Unito,None,High school diploma,Part time ,80.0,Between 23 and 1,7-8,88.0,No,None,None,None,None,No,No,3.0,1.0,0.0,5.0,100.0,Yes,3.0,41.0,No,More than 5 km,car,No,I've go no bike,Rarely,No,No,No,None,None,Yes,Calories,Parents,5.0,No,None,Between 1 and 2 liters,Rarely,100.0,No,Yes,Often,Yes,Sport,20,14.0,10.0,4.0,7.0,11.0,1.0,5.0,7.0,1.0,1.0,7.0,1.0,1.0,5.0,5.0,2.0,2,2,3,3,1.1669861483859654,-0.6407985525169465
Male,21.0,Parents,Metropolis,Francia,None,High school diploma,Student,92.0,Between 23 and 1,4-6,67.0,Occasionally,None,None,None,None,No,No,3.0,1.0,1.0,2.0,100.0,Yes,5.0,100.0,No,Between 1 and 5 km,car,Yes,Rarely,Almost always,Yes,No,No,None,None,Sometimes,None,Parents,100.0,No,None,Between 1 and 2 liters,Sometimes,100.0,No,Yes,Sometimes,Yes,Sport,17,6.0,10.0,6.0,2.0,8.0,2.0,1.0,7.0,0.0,0.0,5.0,0.0,0.0,2.0,10.0,5.0,0,4,0,4,0.8146286278494286,-1.2739712550393882
Male,19.0,Parents,Town,Italia,Nord,Middle school,"Student,Part time ",73.0,After 1,6-7,100.0,Yes,Before 18,"Sigaretta,Tabacco da rollare,Altro:",Light,Often,Yes,Yes,0.0,0.0,0.0,0.0,0.0,No,0.0,50.0,None,More than 5 km,car,No,I've go no bike,Sometimes,No,No,No,None,None,No,None,Parents,47.0,Yes,"Breakfast,Lunch,Dinner",More than 2 liters,Often,100.0,Yes,Yes,Sometimes,Yes,None,Da quando ho iniziato a lavorare a McDonald's a pranzo e andare a scuola a cena,5.0,9.0,4.0,5.0,11.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,5.0,27.0,0.0,14.0,1,2,4,2,-0.4997030535768945,-1.2739712550393882
Male,19.0,Flatmates,Metropolis,Italia,Sud,High school diploma,Student,80.0,Between 23 and 1,6-7,74.0,No,None,None,None,None,No,No,2.0,0.0,0.0,1.0,64.0,No,0.0,50.0,None,Between 1 and 5 km,"public transportation,walking",No,I've go no bike,Often,Yes,No,No,None,None,Yes,Calories,Me,61.0,No,None,Between 1 and 2 liters,Almost never,74.0,No,Yes,Often,Yes,"Living alone,Body shape",18,9.0,10.0,4.0,0.0,10.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,5.0,1,2,2,1,0.2640286746632015,-0.13953682968668019
Male,20.0,Parents,Metropolis,Italia,Nord,High school diploma,Student,60.0,Between 23 and 1,7-8,100.0,No,None,None,None,None,No,No,1.0,0.0,0.0,1.0,100.0,Yes,5.0,82.0,Yes,Between 1 and 5 km,public transportation,Yes,Rarely,Often,No,No,No,None,None,Sometimes,None,Parents,50.0,No,None,More than 2 liters,Almost never,91.0,No,Yes,Rarely,No,None,None,4.0,12.0,1.0,3.0,6.0,1.0,3.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,2,4,2,1,-0.831062953008255,0.6519290484663722
Female,21.0,Flatmates,Metropolis,Italia,Nord,High school diploma,Student,49.0,Between 23 and 1,6-7,100.0,Occasionally,None,None,None,None,No,No,0.0,0.0,0.0,1.0,95.0,No,0.0,50.0,None,Between 1 and 5 km,"public transportation,walking",No,I've go no bike,Rarely,No,No,No,None,None,No,None,Me,24.0,Yes,Breakfast,Less than 1 liter,Sometimes,95.0,No,Yes,Almost always,Yes,Living alone,19,2.0,14.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,2.0,4.0,1,2,3,4,-1.518593471283103,-0.4033587890710308
Female,19.0,Parents,Town,Italia,Nord,High school diploma,Student,62.0,Between 23 and 1,4-6,63.0,No,None,None,None,None,No,No,0.0,0.0,0.0,1.0,18.0,No,0.0,50.0,None,More than 5 km,"car,public transportation,walking",No,I've go no bike,Sometimes,No,No,Yes,Often,Personal choices,Sometimes,None,Parents,50.0,No,None,Between 1 and 2 liters,Rarely,100.0,No,Yes,Sometimes,Yes,End of High School,19,14.0,9.0,1.0,8.0,14.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,8.0,8.0,0,2,4,3,-0.6180616435192207,-0.7727095322091219
Male,21.0,Parents,Town,Italia,Nord,High school diploma,Student,70.0,Between 23 and 1,6-7,100.0,No,None,None,None,None,No,No,0.0,1.0,1.0,1.0,96.0,Yes,3.0,85.0,No,More than 5 km,public transportation,Yes,Sometimes,Sometimes,Yes,No,No,None,None,No,None,Parents,50.0,No,None,Between 1 and 2 liters,Often,76.0,No,Yes,Almost always,No,None,None,3.0,6.0,0.0,3.0,6.0,4.0,2.0,0.0,1.0,5.0,3.0,3.0,6.0,5.0,11.0,5.0,1,5,4,2,-1.1169954565864202,0.5991646565895019
Female,19.0,Flatmates,Metropolis,Italia,Sud,High school diploma,Student,65.0,Before 23,8-9,100.0,No,None,None,None,None,No,No,0.0,0.0,0.0,0.0,100.0,Yes,5.0,78.0,No,Less than 1 km,walking,No,I've go no bike,Almost always,Yes,No,No,None,None,Sometimes,None,Me,100.0,Yes,Dinner,Less than 1 liter,Almost never,100.0,No,Yes,Almost always,Yes,Body shape,12,6.0,1.0,6.0,0.0,4.0,2.0,0.0,5.0,3.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,3,2,0,1,0.4099261398202641,1.4961593184962945
Female,20.0,Parents,City,Italia,Nord,High school diploma,Student,51.0,Between 23 and 1,7-8,87.0,Yes,Before 18,Sigaretta,None,None,No,No,0.0,0.0,0.0,1.0,29.0,Yes,2.0,52.0,No,Between 1 and 5 km,car,Yes,Almost never,Rarely,Yes,No,No,None,None,No,None,Parents,78.0,No,None,Between 1 and 2 liters,Rarely,63.0,Yes,Yes,Almost always,Yes,Body shape,13,6.0,9.0,3.0,10.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,2.0,2,1,3,3,-0.15767040908134505,-0.5880341606400763
Female,21.0,Parents,Town,Italia,Nord,High school diploma,Student,55.0,Between 23 and 1,9-10,100.0,Yes,Before 18,Tabacco da rollare,None,None,No,No,4.0,6.0,2.0,4.0,80.0,No,0.0,50.0,None,More than 5 km,car,Yes,Rarely,Almost never,Yes,No,No,None,None,No,None,Me,60.0,Yes,Breakfast,Between 1 and 2 liters,Almost never,71.0,Yes,Yes,Almost always,No,None,None,12.0,8.0,10.0,5.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,4,4,1,1,0.8719244853076265,-0.6407985525169465
Male,21.0,Parents,Metropolis,Italia,Nord,High school diploma,Full time,60.0,Between 23 and 1,6-7,69.0,Yes,Before 18,Tabacco da rollare,None,None,No,No,2.0,1.0,1.0,0.0,57.0,No,0.0,50.0,None,Between 1 and 5 km,public transportation,No,I've go no bike,Often,No,No,No,None,None,No,None,Parents,100.0,Yes,"Breakfast,Lunch",Between 1 and 2 liters,Rarely,72.0,No,Yes,Sometimes,No,None,None,7.0,7.0,3.0,6.0,8.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,1,2,2,3,-0.35690155558678216,-1.3003534509778232
Female,20.0,Parents,Town,Italia,Nord,High school diploma,Student,48.0,Between 23 and 1,7-8,100.0,Yes,Before 18,Tabacco da rollare,None,None,No,No,1.0,6.0,0.0,5.0,50.0,No,0.0,50.0,None,More than 5 km,"public transportation,walking",Yes,Almost never,Often,No,No,Yes,Occasionally,Personal choices,No,None,Parents,100.0,No,None,Between 1 and 2 liters,Sometimes,87.0,No,Yes,Sometimes,No,None,None,10.0,12.0,4.0,8.0,6.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,2.0,2.0,0.0,2,1,2,4,0.06075910380501238,-1.3531178428546935
Female,22.0,Parents,Metropolis,Italia,Nord,High school diploma,Student,62.0,Between 23 and 1,7-8,100.0,No,None,None,None,None,No,No,2.0,1.0,0.0,0.0,50.0,Yes,2.0,50.0,No,More than 5 km,public transportation,No,I've go no bike,Sometimes,Yes,No,No,None,None,No,None,Parents,50.0,No,None,Between 1 and 2 liters,Rarely,90.0,No,Yes,Sometimes,No,None,None,5.0,7.0,2.0,7.0,3.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,4.0,0.0,2,2,4,3,-0.25566394535947884,-0.3242122012557257
Male,23.0,Parents,Town,Italia,Nord,High school diploma,Full time,81.0,Between 23 and 1,4-6,72.0,No,None,None,None,None,No,No,2.0,3.0,0.0,0.0,100.0,Yes,2.0,27.0,No,More than 5 km,public transportation,Yes,Sometimes,Almost always,Yes,No,No,None,None,Sometimes,None,Parents,77.0,No,None,More than 2 liters,Rarely,89.0,No,Yes,Sometimes,Yes,"Body shape,Sport",16,10.0,12.0,5.0,8.0,4.0,3.0,2.0,0.0,0.0,1.0,7.0,2.0,1.0,1.0,3.0,3.0,0,5,0,3,1.0766162215498263,-1.3531178428546935
Female,20.0,Parents,Town,Italia,Nord,High school diploma,Student,63.0,Between 23 and 1,7-8,99.0,Occasionally,None,None,None,None,No,No,2.0,1.0,0.0,2.0,82.0,Yes,3.0,58.0,No,More than 5 km,public transportation,Yes,Almost never,Rarely,Yes,No,No,None,None,No,None,Parents,60.0,No,None,Less than 1 liter,Sometimes,65.0,No,Yes,Sometimes,No,None,None,6.0,6.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,2.0,2,1,3,4,-0.6549890087336077,-0.799091728147557
