sesso,eta_1,coinqui,citta,etnia_1,regione,tit_studio,lavoro,altezza_1,peso_1,ora_letto,ore_di_sonno,imp_sonno_1,fumo,fumo_inizio,fumo_oggetto,droghe,droghe_tipo,droghe_freq,alcol_sino,alcol_quant_1,alcol_quant_2,alcol_quant_3,alcol_quant_4,sport_imp_1,sport,sport_freq_1,sport_impegno_1,sport_dieta,scuola_dist,scuola_mezzo,bici,bici_freq,passeggiata_freq,app_passi,veg,integratori,integratori_freq,integratori_why,valori_nut,valori_nut_quali,spes,qualita_economicita_1,salto_pasti,salto_pasti_quali,acqua_quanta,bibite_freq,alimentaz_imp_1,peso_cibo,so_cucinare,cucino_io,abitudini_cambio,abitudini_why_cambio,abitudini_anni_cambi,giorno_cibi_1,giorno_cibi_2,giorno_cibi_3,giorno_cibi_4,giorno_cibi_5,giorno_cibi_6,giorno_cibi_7,pausa_mattina_cibi_1,pausa_mattina_cibi_2,pausa_mattina_cibi_3,pausa_mattina_cibi_4,pausa_pome_cibi_1,pausa_pome_cibi_2,pausa_pome_cibi_3,pausa_pome_cibi_4,fast_food_freq_1,surgelati_freq_1,asporto_freq_1,ore_sonno_code,bici_code,pass_code,bibite_code,health,lifestyle
Maschio,20.0,Genitori/genitore,Citta,Italia,Nord,Maturità,"Studente,Lavoratore part time",141.0,75.0,Dopo l'1,6-7 ore,50.0,Sì,Prima dei 18 anni,Sigaretta,Sì,Leggere,Occasionalmente,No,7.0,1.0,1.0,2.0,62.0,Sì,3.0,55.0,Sì,Più di 5 km,metro,Sì,Raramente,A volte,No,No,No,999,999,A volte,999,Genitori,56.0,Sì,Colazione,Tra 1 e 2 litri,Quasi mai,57.0,No,Sì,Spesso,Sì,Per lo sport,19,10.0,10.0,2.0,2.0,5.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,1,3,0,2,-2.209810948880916,-2.571428571428571
Maschio,20.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,141.0,70.0,Tra le 23 e l'1,7-8 ore,97.0,No,999,999,No,999,999,No,1.0,1.0,0.0,1.0,75.0,Sì,3.0,40.0,No,Più di 5 km,metro,Sì,Raramente,Spesso,No,No,No,999,999,No,999,Genitori,83.0,No,999,Tra 1 e 2 litri,A volte,78.0,No,Sì,A volte,No,999,999,7.0,7.0,3.0,1.0,7.0,0.0,2.0,0.0,0.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,2,3,4,0,-4.5954592314951395,4.571428571428571
Maschio,21.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,115.0,88.0,Tra le 23 e l'1,6-7 ore,66.0,No,999,999,No,999,999,No,2.0,0.0,1.0,1.0,100.0,Sì,4.0,96.0,Sì,Più di 5 km,metro,Sì,Quasi mai,Quasi sempre,Sì,No,Sì,Abitualmente,Per uno sport,No,999,Io,88.0,No,999,Tra 1 e 2 litri,Spesso,79.0,No,Sì,Quasi mai,Sì,"Per la mia forma fisica,Per lo sport",20,8.0,11.0,11.0,11.0,14.0,4.0,11.0,7.0,1.0,3.0,3.0,6.0,1.0,3.0,3.0,1.0,2.0,1.0,1,1,2,4,-3.2301950102196497,0.9285714285714288
Maschio,20.0,Genitori/genitore,Metropoli  ,Italia,Nord,Maturità,Studente,115.0,62.0,Tra le 23 e l'1,7-8 ore,89.0,No,999,999,No,999,999,No,0.0,0.0,0.0,1.0,89.0,Sì,2.0,79.0,No,Meno di 1 km,piedi,Sì,Quasi mai,Spesso,No,No,No,999,999,No,999,Genitori,63.0,No,999,Tra 1 e 2 litri,A volte,89.0,No,Sì,Raramente,Sì,Per la mia forma fisica,18,4.0,11.0,6.0,4.0,8.0,2.0,2.0,3.0,1.0,4.0,2.0,5.0,2.0,3.0,1.0,3.0,7.0,1.0,2,1,4,0,-3.418072217798604,5.357142857142858
Femmina,38.0,Con un partner,Citta,Italia,Nord,Laurea magistrale,Lavoratore part time,196.0,57.0,Prima delle 23,7-8 ore,75.0,No,999,999,No,999,999,Sì,0.0,0.0,0.0,0.0,41.0,No,0.0,50.0,999,Più di 5 km,metro,Sì,Quasi mai,A volte,No,No,Sì,Occasionalmente,Necessità mediche,No,999,Io,50.0,No,999,Meno di 1 litro,Quasi mai,63.0,Sì,Sì,A volte,Sì,Quando sono andato a vivere da solo,30,14.0,3.0,10.0,3.0,11.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,2,1.978402232351186,1.0
Femmina,21.0,Genitori/genitore,Citta,Italia,Nord,Maturità,Lavoratore part time,101.0,57.0,Tra le 23 e l'1,8-9 ore,100.0,Sì,Prima dei 18 anni,"Tabacco da rollare,Altro:",Sì,Leggere,Abitualmente,Sì,0.0,0.0,0.0,0.0,21.0,No,0.0,50.0,999,Tra 1 e 5 km,auto,No,Quasi mai,Quasi mai,No,No,No,999,999,A volte,999,Genitori,61.0,Sì,Cena,Meno di 1 litro,A volte,71.0,No,No,Non so cucinare,No,999,999,7.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,3.0,3.0,0.0,3.0,3.0,6.0,0.0,7.0,3,1,1,0,-3.019047619047619,-0.5
Femmina,20.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,93.0,50.0,Tra le 23 e l'1,6-7 ore,100.0,No,999,999,No,999,999,Sì,0.0,0.0,0.0,0.0,100.0,Sì,4.0,75.0,Sì,Più di 5 km,metro,Sì,Raramente,A volte,Sì,Semi-vegetariano (mangi il pesce),Sì,Abitualmente,Necessità mediche,Sì,"Calorie, grassi, zuccheri,Prodotti chimici come conservanti e dolcificanti",Genitori,100.0,Sì,Colazione,Tra 1 e 2 litri,Quasi mai,100.0,Sì,Sì,Quasi sempre,Sì,"Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...),Per la mia forma fisica",15,12.0,3.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,2,-2.7380952380952377,2.5
Femmina,22.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,109.0,60.0,Prima delle 23,6-7 ore,100.0,No,999,999,No,999,999,Sì,0.0,0.0,0.0,0.0,50.0,No,0.0,50.0,999,Meno di 1 km,"auto,metro",No,Quasi mai,A volte,No,Vegetariano,No,999,999,Sì,"Calorie, grassi, zuccheri",Io,50.0,No,999,Più di 2 litri,Quasi mai,100.0,Sì,Sì,Quasi sempre,Sì,"Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...)",21,14.0,10.0,4.0,0.0,0.0,0.0,2.0,5.0,3.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,0,2,0.9408225075096668,1.0
Maschio,23.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,99.0,59.0,Tra le 23 e l'1,6-7 ore,37.0,No,999,999,No,999,999,No,0.0,0.0,0.0,3.0,100.0,Sì,5.0,80.0,No,Più di 5 km,"metro,piedi",Sì,Quasi mai,Quasi mai,No,No,No,999,999,No,999,Genitori,61.0,Sì,Colazione,Più di 2 litri,Quasi Sempre,69.0,No,Sì,Raramente,No,999,999,0.0,7.0,0.0,12.0,7.0,1.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,7.0,1.0,0.0,4.0,1,1,1,1,-15.50504904411901,4.571428571428571
Femmina,28.0,Coinquilini,Paese ,Italia,Nord,Laurea triennale,Lavoratore part time,190.0,49.0,Dopo l'1,6-7 ore,79.0,No,999,999,No,999,999,No,3.0,0.0,0.0,0.0,78.0,No,0.0,50.0,999,Meno di 1 km,auto,Sì,Raramente,Raramente,No,No,No,999,999,No,999,Io,50.0,No,999,Meno di 1 litro,Quasi mai,65.0,No,Sì,Quasi sempre,Sì,Per la mia forma fisica,20,14.0,5.0,8.0,8.0,4.0,6.0,3.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,6.0,2.0,0.0,1,3,3,2,3.0225785874367777,-0.9285714285714288
Femmina,21.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,204.0,55.0,Tra le 23 e l'1,6-7 ore,100.0,No,999,999,No,999,999,Sì,0.0,0.0,0.0,0.0,100.0,Sì,7.0,74.0,Sì,Più di 5 km,metro,Sì,Quasi mai,Spesso,No,No,Sì,Occasionalmente,Per uno sport,A volte,999,Genitori,50.0,No,999,Tra 1 e 2 litri,Quasi mai,100.0,Sì,Sì,Spesso,Sì,"Per la mia forma fisica,Per lo sport",17,14.0,7.0,4.0,1.0,3.0,3.0,2.0,4.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,2.0,4.0,1,1,4,2,1.7038261898850395,5.0
Femmina,19.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,206.0,56.0,Prima delle 23,7-8 ore,77.0,Occasionalmente,999,999,No,999,999,No,0.0,1.0,0.0,1.0,85.0,Sì,3.0,68.0,No,Più di 5 km,metro,Sì,Quasi mai,Quasi mai,Sì,No,No,999,999,A volte,999,Genitori,100.0,No,999,Tra 1 e 2 litri,A volte,100.0,No,Sì,A volte,Sì,Per lo sport,13,10.0,8.0,0.0,4.0,5.0,5.0,1.0,5.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,3.0,2,1,1,0,-0.0418714332112633,4.214285714285714
Femmina,21.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Lavoratore part time,206.0,60.0,Tra le 23 e l'1,4-6 ore,100.0,No,999,999,No,999,999,No,3.0,2.0,0.0,1.0,68.0,Sì,1.0,26.0,No,Più di 5 km,metro,No,Quasi mai,Quasi mai,No,No,No,999,999,A volte,999,Genitori,80.0,No,999,Tra 1 e 2 litri,Raramente,100.0,Sì,Sì,Raramente,Sì,Per la mia forma fisica,16,14.0,7.0,5.0,2.0,8.0,4.0,1.0,7.0,0.0,2.0,0.0,7.0,1.0,3.0,0.0,3.0,3.0,0.0,0,1,1,3,2.8897187953288994,-2.857142857142857
Femmina,21.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Lavoratore part time,109.0,60.0,Tra le 23 e l'1,6-7 ore,78.0,No,999,999,No,999,999,No,3.0,1.0,0.0,1.0,39.0,No,0.0,50.0,999,Più di 5 km,"auto,metro",Sì,A volte,Spesso,Sì,No,No,999,999,A volte,999,Genitori,31.0,No,999,Tra 1 e 2 litri,Raramente,64.0,No,Sì,A volte,Sì,Quando ho finito le superiori,19,8.0,10.0,0.0,7.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,5.0,4.0,1,0,4,3,-4.446520127148436,-0.7142857142857143
Femmina,22.0,Coinquilini,Metropoli  ,Italia,Nord,Maturità,Studente,202.0,65.0,Tra le 23 e l'1,7-8 ore,81.0,No,999,999,No,999,999,No,2.0,2.0,1.0,1.0,65.0,Sì,3.0,49.0,Sì,Tra 1 e 5 km,"metro,piedi",Sì,Quasi mai,Spesso,No,No,No,999,999,A volte,999,Io,40.0,Sì,Colazione,Tra 1 e 2 litri,Raramente,76.0,Sì,Sì,Quasi sempre,Sì,Quando sono andato a vivere da solo,19,7.0,7.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,2,1,4,3,-3.45946463184744,3.6428571428571423
Maschio,28.0,Genitori/genitore,Citta,Italia,Nord,Maturità,Lavoratore a tempo pieno,129.0,74.0,Tra le 23 e l'1,7-8 ore,100.0,No,999,999,No,999,999,Sì,0.0,0.0,0.0,0.0,13.0,No,0.0,50.0,999,Più di 5 km,auto,No,Quasi mai,Quasi mai,No,No,No,999,999,No,999,Genitori,69.0,No,999,Tra 1 e 2 litri,A volte,84.0,No,Sì,Raramente,Sì,Per necessità mediche,22,1.0,10.0,2.0,7.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,10.0,1.0,2,1,1,0,-6.676477615547582,0.5
Maschio,26.0,Genitori/genitore,Paese ,Italia,Nord,Laurea triennale,Studente,99.0,69.0,Tra le 23 e l'1,6-7 ore,95.0,Occasionalmente,999,999,No,999,999,No,7.0,4.0,4.0,4.0,27.0,No,0.0,50.0,999,Meno di 1 km,metro,No,Quasi mai,A volte,Sì,No,No,999,999,A volte,999,Genitori,86.0,Sì,Pranzo,Meno di 1 litro,A volte,80.0,No,No,Non so cucinare,Sì,"Quando ho deciso di cambiare regime alimentare (vegetariano, vegano, ecc...)",20,7.0,10.0,3.0,7.0,4.0,4.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,7.0,0.0,3.0,4.0,1.0,1,1,0,0,-1.5898855684130193,-2.7142857142857144
Maschio,20.0,Coinquilini,Metropoli  ,Italia,Centro,Maturità,Studente,133.0,90.0,Tra le 23 e l'1,6-7 ore,80.0,No,999,999,No,999,999,No,1.0,0.0,0.0,0.0,83.0,Sì,1.0,0.0,Sì,Tra 1 e 5 km,"metro,bici,piedi",Sì,Spesso,Raramente,Sì,No,No,999,999,Sì,"Calorie, grassi, zuccheri",Io,50.0,No,999,Tra 1 e 2 litri,Raramente,69.0,Sì,Sì,Quasi sempre,Sì,"Quando sono andato a vivere da solo,Per la mia forma fisica,Per lo sport",18,10.0,10.0,7.0,5.0,2.0,2.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,4.0,2.0,7.0,4.0,1,4,3,3,0.4222041671501553,4.357142857142858
Maschio,21.0,Genitori/genitore,Citta,Regno Unito,999,Maturità,Lavoratore part time,133.0,80.0,Tra le 23 e l'1,7-8 ore,88.0,No,999,999,No,999,999,No,3.0,1.0,0.0,5.0,100.0,Sì,3.0,41.0,No,Più di 5 km,auto,No,Quasi mai,Raramente,No,No,No,999,999,Sì,"Calorie, grassi, zuccheri",Genitori,5.0,No,999,Tra 1 e 2 litri,Raramente,100.0,No,Sì,Spesso,Sì,Per lo sport,20,14.0,10.0,4.0,7.0,11.0,1.0,5.0,7.0,1.0,1.0,0.0,7.0,1.0,1.0,4.0,5.0,5.0,2.0,2,1,3,3,-1.3975598699426774,0.7142857142857144
Maschio,21.0,Genitori/genitore,Metropoli  ,Francia,999,Maturità,Studente,131.0,92.0,Tra le 23 e l'1,4-6 ore,67.0,Occasionalmente,999,999,No,999,999,No,3.0,1.0,1.0,2.0,100.0,Sì,5.0,100.0,No,Tra 1 e 5 km,auto,Sì,Raramente,Quasi sempre,Sì,No,No,999,999,A volte,999,Genitori,100.0,No,999,Tra 1 e 2 litri,A volte,100.0,No,Sì,A volte,Sì,Per lo sport,17,6.0,10.0,6.0,2.0,8.0,2.0,1.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,10.0,5.0,0,3,2,0,-1.660929360655747,2.0
Maschio,19.0,Genitori/genitore,Paese ,Italia,Nord,Licenza media,"Studente,Lavoratore part time",141.0,73.0,Dopo l'1,6-7 ore,100.0,Sì,Prima dei 18 anni,"Sigaretta,Tabacco da rollare,Altro:",Sì,Leggere,Abitualmente,Sì,0.0,0.0,0.0,0.0,0.0,No,0.0,50.0,999,Più di 5 km,auto,No,Quasi mai,A volte,No,No,No,999,999,No,999,Genitori,47.0,Sì,"Colazione,Pranzo,Cena",Più di 2 litri,Spesso,100.0,Sì,Sì,A volte,Sì,999,Da quando ho iniziato a lavorare a McDonald's a pranzo e andare a scuola a cena,5.0,9.0,4.0,5.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,27.0,0.0,14.0,1,1,0,4,-5.943792857734008,-5.0
Maschio,19.0,Coinquilini,Metropoli  ,Italia,Sud,Maturità,Studente,133.0,80.0,Tra le 23 e l'1,6-7 ore,74.0,No,999,999,No,999,999,No,2.0,0.0,0.0,1.0,64.0,No,0.0,50.0,999,Tra 1 e 5 km,"metro,piedi",No,Quasi mai,Spesso,Sì,No,No,999,999,Sì,"Calorie, grassi, zuccheri",Io,61.0,No,999,Tra 1 e 2 litri,Quasi mai,74.0,No,Sì,Spesso,Sì,"Quando sono andato a vivere da solo,Per la mia forma fisica",18,9.0,10.0,4.0,0.0,10.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,5.0,1,1,4,2,-1.4330364020081547,2.571428571428571
Maschio,20.0,Genitori/genitore,Metropoli  ,Italia,Nord,Maturità,Studente,210.0,60.0,Tra le 23 e l'1,7-8 ore,100.0,No,999,999,No,999,999,No,1.0,0.0,0.0,1.0,100.0,Sì,5.0,82.0,Sì,Tra 1 e 5 km,metro,Sì,Raramente,Spesso,No,No,No,999,999,A volte,999,Genitori,50.0,No,999,Più di 2 litri,Quasi mai,91.0,No,Sì,Raramente,No,999,999,4.0,12.0,1.0,3.0,6.0,1.0,3.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,2,3,4,2,-4.817971123697512,4.714285714285714
Femmina,21.0,Coinquilini,Metropoli  ,Italia,Nord,Maturità,Studente,196.0,49.0,Tra le 23 e l'1,6-7 ore,100.0,Occasionalmente,999,999,No,999,999,No,0.0,0.0,0.0,1.0,95.0,No,0.0,50.0,999,Tra 1 e 5 km,"metro,piedi",No,Quasi mai,Raramente,No,No,No,999,999,No,999,Io,24.0,Sì,Colazione,Meno di 1 litro,A volte,95.0,No,Sì,Quasi sempre,Sì,Quando sono andato a vivere da solo,19,2.0,14.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,6.0,0.0,2.0,4.0,1,1,3,0,-5.838382377452344,3.357142857142857
Femmina,19.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,97.0,62.0,Tra le 23 e l'1,4-6 ore,63.0,No,999,999,No,999,999,No,0.0,0.0,0.0,1.0,18.0,No,0.0,50.0,999,Più di 5 km,"auto,metro,piedi",No,Quasi mai,A volte,No,No,Sì,Abitualmente,Scelte personali,A volte,999,Genitori,50.0,No,999,Tra 1 e 2 litri,Raramente,100.0,No,Sì,A volte,Sì,Quando ho finito le superiori,19,14.0,9.0,1.0,8.0,14.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,8.0,0,1,0,3,-4.5465425522689396,-1.6428571428571428
Maschio,21.0,Genitori/genitore,Paese ,Italia,Nord,Maturità,Studente,103.0,70.0,Tra le 23 e l'1,6-7 ore,100.0,No,999,999,No,999,999,No,0.0,1.0,1.0,1.0,96.0,Sì,3.0,85.0,No,Più di 5 km,metro,Sì,A volte,A volte,Sì,No,No,999,999,No,999,Genitori,50.0,No,999,Tra 1 e 2 litri,Spesso,76.0,No,Sì,Quasi sempre,No,999,999,3.0,6.0,0.0,3.0,6.0,4.0,2.0,0.0,1.0,5.0,0.0,3.0,3.0,6.0,0.0,5.0,11.0,5.0,1,0,0,4,-6.032521575013117,-0.9285714285714286
